Paises;GDP Pais;Demanda per capita;Población;Consumo
Turkmenistan;19828,92485;4,258421197;7364438;31360,87888
Macao SAR;116491,07;45,34979341;678800;30783,43976
Malta;63419,8237;55,58528743;552747;30724,60087
Togo;3071,512168;3,113173876;9304337;28966,01888
Sudan;2740,421143;0,554789396;50042791;27763,2098
Moldova;17596,88342;10,80244711;2457783;26550,07086
Tajikistan;4963,582953;2,37329195;10389799;24658,02633
Congo, Rep.;6850,277706;3,586631283;6182885;22175,72876
Gabon;20757,07238;7,955576282;2484789;19767,92843
Benin;4129,979415;1,385378443;14111034;19549,12231
Guyana;54732,14407;21,6110448;826353;17858,3517
Guinea;4383,152197;1,160631366;14405468;16719,43801
Rwanda;3396,155325;1,134819706;13954471;15835,80868
Malawi;1829,507689;0,708946838;21104482;14961,95577
Afghanistan;2211,280635;0,344338014;41454761;14274,45008
Burkina Faso;2754,713465;0,580424024;23025776;13364,71355
Mauritania;6946,193933;2,418255366;5022441;12145,5449
Haiti;3281,212321;1,020633271;11637398;11877,51558
Barbados;21336,15756;39,34980935;282336;11109,86777
Brunei Darussalam;#N/D;23,80836687;458949;10926,82617
Somalia;1556,523091;0,574902023;18358615;10554,4049
New Caledonia;#N/D;30,44424342;289870;8824,87284
Bahamas;36742,06204;21,63594397;399440;8642,261458
Gambia;3254,374577;3,198451411;2697845;8628,926146
Mali;2657,712984;0,324869303;23769127;7721,859723
Belize;13823,43795;14,11471667;411106;5802,64471
French Polynesia;#N/D;20,25688916;281118;5694,576168
Liberia;1794,533409;1,024227246;5493031;5626,112013
Lesotho;2880,96631;2,392393898;2311472;5529,951507
Sierra Leone;3367,51026;0,553472257;8460512;4682,658668
Bhutan;#N/D;5,324356497;786385;4186,994084
Niger;1890,505186;0,151183651;26159867;3954,944208
Burundi;919,9066462;0,252716868;13689450;3459,554925
Samoa;6996,841921;14,86571924;216663;3220,851327
Chad;1863,940621;0,149927402;19319064;2896,457069
Central African Rep.;1259,8244;0,450304274;5152421;2320,157199
Guinea-Bissau;2862,071225;0,785060756;2153339;1690,501942
